MOBILE 2;100015777146;MOBILE 2 -002T2 -TRANS;;;0
MOBILE 4;100015777152;MOBILE 4 -004T4 -TRANS;;;0
MOBILE 5;100015777165;MOBILE 5 -005T5 -TRANS;;;0
MOBILE 7;100015777196;MOBILE 7 -007T7 -TRANS;;;0
MOBILE 8;100015777221;MOBILE 8 -008T8 -TRANS;;;0
MOBILE 9;100015777226;MOBILE 9 -009 T9 -TRANS;;;0
MOBILE 10;100015777249;MOBILE 10 -010 T10 -TRANS;;;0
MOBILE 11;100015777269;MOBILE 11 -011 T11-TRANS;;;0
MOBILE 13;100015777361;MOBILE 13 -0013-XFMER;;;0
AUG K5;100015777373;AUG K5-200T1 -TRANS;;;1807
AUGUSTA E SIDE;100015777395;AUGUSTA E SIDE- 201T1 -TRANS;;;0
BATH WASH ST;100015777527;BATH WASH ST-204T2 -TRANS;;;935
BATH NORTH END;100015777564;BATH N END-206T1 -TRANS;;;2251
BLAIR ROAD;100015777591;BLAIR RD-207T1 -TRANS;;;2940
BOND BROOK;100015777643;BOND BRK-208T1 -TRANS;;;1949
BOOTHBAY HARBOR;100015777651;BOOTHBAY H-209T1 -TRANS;;;3697
BOOTHBAY HARBOR;100015777653;BOOTHBAY H-209T2 -TRANS;;;2597
NASC;100015777694;CMP Spare Substations Transformers;;;0
BROWN'S CROSSING;100015777750;BROWNS XING-211T1 -TRANS;;;3180
CONY ROAD;100015778043;CONY RD-216T1 -TRANS;;;1705
COOK'S CORNER;100015778122;COOKS CORNER-217T1 -TRANS;;;1245
COOKS CORNER;100015778124;COOKS CORNER-217TGND-L -TRANS;;;0
COOKS CORNER;100015778126;COOKS CORNER-217TGND-M -TRANS;;;0
COOKS CORNER;100015778127;COOKS CORNER-217TGND-R -TRANS;;;0
W F WYMAN;100015778179;W F WYMAN-218T11 -TRANS;;;0
W F WYMAN;100015778180;W F WYMAN-218T13 -TRANS;;;382
DAMARISCOTTA MILLS;100015778250;DAMARISCOTTA MILLS-219T1 -TRANS;;;4294
EDGECOMB;100015778283;EDGECOMB-223T1 -TRANS;;;1120
GARDINER;100015778346;GARDINER-226T1 -TRANS;;;1494
HIGHLAND;100015778435;HIGHLAND-228T1 -TRANS;;;0
Coopers Mills Road;100015779005;Coopers Mills Road-T1-TRANS;;;0
LISBON;100015779091;LISBON-231T1 -TRANS;;;1874
MANCHESTER;100015779200;MANCHESTER-233T1 -TRANS;;;2815
MANKTOWN ROAD;100015779209;MANKTOWN RD-234T1-01 -TRANS;;;498
MANKTOWN ROAD;100015779211;MANKTOWN RD-234T1-02 -TRANS;;;498
MANKTOWN ROAD;100015779215;MANKTOWN RD-234T1-03 -TRANS;;;498
MASON;100015779382;MASON-235T10 -TRANS;;;0
MASON;100015779410;MASON-235T9 -TRANS;;;0
NASC;100015780077;CMP Spare Substations Transformers;;;0
COOPERS MILLS ROAD S/S;100015780159;COOPERS MILLS ROAD S/S-WINDSOR;;;0
MCCOYS;100015780904;MCCOYS-237T1-L -TRANS;;;1082
MCCOYS;100015780909;MCCOYS-237T1-M -TRANS;;;1082
MCCOYS;100015780911;MCCOYS-237T1-R -TRANS;;;1082
MESSINA;100015780931;MESSINA-238T1 -TRANS;;;1784
PARK STREET;100015781040;PARK STREET-239T1 -TRANS;;;0
RICHMOND;100015781112;RICHMOND-240T1 -TRANS;;;2091
SHEEPSCOT;100015781124;SHEEPSCOT-241T1 -TRANS;;;720
SIDNEY;100015781196;SIDNEY-242T1 -TRANS;;;800
NASC;100015781258;CMP Spare Substations Transformers;;;0
STICKNEY'S CORNER;100015781298;STICKNEYS CORNER-245T1 -TRANS;;;3144
THOMASTON CREEK;100015781356;THOMASTON CREEK-246T1 -TRANS;;;2601
TOPSHAM OLD;100015781465;TOPSHAM OLD-249T1 -TRANS;;;2110
TOPSHAM 115;100015781494;TOPSHAM 115-250T1 -TRANS;;;0
TOPSHAM 115;100015781547;TOPSHAM 115-250T2 -TRANS;;;4253
TOPSHAM 115;100015781553;TOPSHAM 115-250T3 -TRANS;;;0
UNION;100015781682;UNION-251T1 -TRANS;;;2317
