EQUIP;OPCO;SUBST;TRANSFORMER_BANK;LOWSIDE_VOLTAGE;CNR_MVA;CALC_PLBN_RATING;THERMAL_STUDY_RATING;LIMITING_ELEMENT;RATING_MVA;YEAR;SUMMER_PEAK_LOAD_MVA
100015755757;NYSEG;AURORA 12.5KV;SUB-TRF 3-1667/1867K;12.5;5.6;6.16;;;6.16;2011;4.55
100015755763;NYSEG;AURORA 12.5KV;SUB-TRF 3-1667/1867K;12.5;5.6;6.16;;;6.16;2011;4.55
100015755764;NYSEG;AURORA 12.5KV;SUB-TRF 3-1667/1867K;12.5;5.6;6.16;;;6.16;2011;4.55
;NYSEG;BRUTON RD 4.8KV;SUB-TRF 3-167KVA;4.8;0.5;0.55000000000000004;;;0.55000000000000004;2011;0.46
100015755338;NYSEG;CAYUGA 4.8KV;SUB-TRF 3-833KVA;4.8;5;5.5;;;5.5;2011;1.57
100015756047;NYSEG;GENOA 4.8KV;SUB-TRF 3-1000KVA;4.8;3;3.3;;;3.3;2011;3.55
100015756048;NYSEG;GENOA 4.8KV;SUB-TRF 3-1000KVA;4.8;3;3.3;;;3.3;2011;3.55
100015756049;NYSEG;GENOA 4.8KV;SUB-TRF 3-1000KVA;4.8;3;3.3;;;3.3;2011;3.55
100015755683;NYSEG;GRANT AVE 12.5KV;LTC-TRF 1-10/12.5/0/;12.5;14;15.4;;;15.4;2011;15.91
100015755815;NYSEG;GREEN ST#1 4.16KV;LTC-TF 1-7.5/9.375/0;4.16;9.3800000000000008;10.31;;;10.31;2011;2.64
100015755816;NYSEG;GREEN ST#2 4.16KV;LTC-TF 1-7.5/9.375/0;4.16;9.3800000000000008;10.31;;;10.31;2011;3.08
100015755944;NYSEG;JORDAN RD#1 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;1.9
100015755945;NYSEG;JORDAN RD#1 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;1.9
100015755946;NYSEG;JORDAN RD#1 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;1.9
100015755961;NYSEG;JORDAN RD#2 12.5KV;SUB-TRF 1-5/5.7 MVA;12.5;5.7;6.27;;;6.27;2011;2.31
100015755976;NYSEG;MARCELLUS 4.8KV;SUB-TRF 3-1667/0/0/0;4.8;5;5.5;;;5.5;2011;5.8
100015755977;NYSEG;MARCELLUS 4.8KV;SUB-TRF 3-1667/0/0/0;4.8;5;5.5;;;5.5;2011;5.8
100015755978;NYSEG;MARCELLUS 4.8KV;SUB-TRF 3-1667/0/0/0;4.8;5;5.5;;;5.5;2011;5.8
100015756000;NYSEG;OTISCO 7.2KV;SUB-TRF 3-1.25/0/0/1;7.2;4.2;4.62;;;4.62;2011;2.61
100015756001;NYSEG;OTISCO 7.2KV;SUB-TRF 3-1.25/0/0/1;7.2;4.2;4.62;;;4.62;2011;2.61
100015756002;NYSEG;OTISCO 7.2KV;SUB-TRF 3-1.25/0/0/1;7.2;4.2;4.62;;;4.62;2011;2.61
100015755890;NYSEG;PORT BYRON 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;4.08
100015755891;NYSEG;PORT BYRON 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;4.08
100015755892;NYSEG;PORT BYRON 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;4.08
100015756179;NYSEG;SAVANNAH#1 4.8KV;SUB-TRF 1-10.5 MVA;4.8;2;2.2000000000000002;;;2.2000000000000002;2011;0.82
100015756180;NYSEG;SAVANNAH#1 4.8KV;SUB-TRF 1-10.5 MVA;4.8;2;2.2000000000000002;;;2.2000000000000002;2011;0.82
100015756181;NYSEG;SAVANNAH#1 4.8KV;SUB-TRF 1-10.5 MVA;4.8;2;2.2000000000000002;;;2.2000000000000002;2011;0.82
100015756068;NYSEG;SCIPIO 4.8KV;SUB-TRF 3-833/0/0/93;4.8;2.8;3.08;;;3.08;2011;2.12
100015756069;NYSEG;SCIPIO 4.8KV;SUB-TRF 3-833/0/0/93;4.8;2.8;3.08;;;3.08;2011;2.12
100015756070;NYSEG;SCIPIO 4.8KV;SUB-TRF 3-833/0/0/93;4.8;2.8;3.08;;;3.08;2011;2.12
100015755360;NYSEG;STATE ST#5 12.5KV;LTC-TF 1-12/16/20/22;12.5;22.4;24.64;;;24.64;2011;15.07
